WARNING: src/modules/memory/instruction_memory.v:13: $readmemb(data/inst.mem): Not enough words in the file for the requested range [0:63].
                   0 ** Start Simulation **
                   0 Instruction Memory 
VCD info: dumpfile sim.vcd opened for output.
                   0 [PC] pc :          x
                   5 [PC] pc :          0
                  65 [PC] pc :          4
                  85 [PC] pc :          8
                 105 [PC] pc :         12
                 125 [PC] pc :         16
                 145 [PC] pc :         20
                 165 [PC] pc :         24
                 185 [PC] pc :         28
                 205 [PC] pc :         32
                 235 [PC] pc :         36
                 255 [PC] pc :         40
                 275 [PC] pc :         44
                 295 [PC] pc :         48
                 315 [PC] pc :         52
                 335 [PC] pc :         56
                 355 [PC] pc :         60
                 365 [PC] pc :         64
                 385 [PC] pc :         68
                 405 [PC] pc :         72
                 435 [PC] pc :         76
                 465 [PC] pc :         80
                 495 [PC] pc :         84
                 515 [PC] pc :         88
                 525 [PC] pc :         84
                 545 [PC] pc :         88
                 555 [PC] pc :         84
                 575 [PC] pc :         88
                 585 [PC] pc :         84
                 605 [PC] pc :         88
                 615 [PC] pc :         84
                 635 [PC] pc :         88
                 645 [PC] pc :         84
                 665 [PC] pc :         88
                 675 [PC] pc :         84
                 695 [PC] pc :         88
                 705 [PC] pc :         84
                 725 [PC] pc :         88
                 735 [PC] pc :         84
                 755 [PC] pc :         88
                 765 [PC] pc :         84
                 785 [PC] pc :         88
                 795 [PC] pc :         84
                 815 [PC] pc :         88
                 825 [PC] pc :         84
                 845 [PC] pc :         88
                 855 [PC] pc :         84
                 875 [PC] pc :         88
                 885 [PC] pc :         84
                 905 [PC] pc :         88
                 915 [PC] pc :         84
                 935 [PC] pc :         88
                 945 [PC] pc :         84
                 965 [PC] pc :         88
                 975 [PC] pc :         84
                 995 [PC] pc :         88
                1005 [PC] pc :         84
                1025 [PC] pc :         88
                1035 [PC] pc :         84
                1055 [PC] pc :         88
                1065 [PC] pc :         84
                1085 [PC] pc :         88
                1095 [PC] pc :         84
                1115 [PC] pc :         88
                1125 [PC] pc :         84
                1145 [PC] pc :         88
                1155 [PC] pc :         84
                1175 [PC] pc :         88
                1185 [PC] pc :         84
                1205 [PC] pc :         88
                1215 [PC] pc :         84
                1235 [PC] pc :         88
                1245 [PC] pc :         84
                1265 [PC] pc :         88
                1275 [PC] pc :         84
                1295 [PC] pc :         88
                1305 [PC] pc :         84
                1325 [PC] pc :         88
                1335 [PC] pc :         84
                1355 [PC] pc :         88
                1365 [PC] pc :         84
                1385 [PC] pc :         88
                1395 [PC] pc :         84
                1415 [PC] pc :         88
                1425 [PC] pc :         84
                1445 [PC] pc :         88
                1455 [PC] pc :         84
                1475 [PC] pc :         88
                1485 [PC] pc :         84
                1505 [PC] pc :         88
